item_id,status,created_at,sku,price,qty_ordered,grand_total,increment_id,category_name_1,sales_commission_code,discount_amount,payment_method,Working Date,BI Status, MV ,Year,Month,Customer Since,M-Y,FY,Customer ID
379056,complete,1/1/2017,Audionic_B-710-Black,1075,1,1075,100255245,Computing,\N,0,cod,1/1/2017,Net,"1,075",2017,1,Sep-16,1-2017,FY17,7746
379058,complete,1/1/2017,AC_ac 178-green-Free size,799,1,48,100255246,Women's Fashion,\N,0,cod,1/1/2017,Net,799,2017,1,Jul-16,1-2017,FY17,2215
379060,complete,1/1/2017,RS_Coconut Bites,140,1,140,100255247,Soghaat,C-HDD-40844,0,cod,1/1/2017,Net,140,2017,1,Jul-16,1-2017,FY17,395
379061,complete,1/1/2017,RS_Coconut Bites,140,1,140,100255248,Soghaat,C-HDD-40844,0,cod,1/1/2017,Net,140,2017,1,Jul-16,1-2017,FY17,395
379062,canceled,1/1/2017,Turbo_100184,91,1,91,100255249,Home & Living,\N,0,Payaxis,1/1/2017,Gross,91,2017,1,Jan-17,1-2017,FY17,30121
379063,order_refunded,1/1/2017,ss_Cufflink Golf Kit,1000,1,2000,100255250,Men's Fashion,80211,0,cod,1/1/2017,Valid,"1,000",2017,1,Jan-17,1-2017,FY17,30122
379064,order_refunded,1/1/2017,ss_Cufflink Golf Boll,1000,1,2000,100255250,Men's Fashion,80211,0,cod,1/1/2017,Valid,"1,000",2017,1,Jan-17,1-2017,FY17,30122
379065,complete,1/1/2017,heater_De Longni,750,2,1500,100255251,Appliances,\N,0,cod,1/1/2017,Net,"1,500",2017,1,Sep-16,1-2017,FY17,8542
379066,canceled,1/1/2017,Infinix Hot 4-Black,12599,1,12599,100255252,Mobiles & Tablets,\N,0,cod,1/1/2017,Gross,"12,599",2017,1,Jan-17,1-2017,FY17,30123
379068,refund,1/1/2017,Ref_Hilly 2066-Beige-43,1995,1,1995,100255253,Men's Fashion,\N,0,cod,1/1/2017,Valid,"1,995",2017,1,Dec-16,1-2017,FY17,29907
379070,complete,1/1/2017,Infinix Hot 4-Black,12599,1,11599,100255254,Mobiles & Tablets,\N,1000,cod,1/1/2017,Net,"12,599",2017,1,Jan-17,1-2017,FY17,30123
379072,order_refunded,1/1/2017,test-product,8,1,8,100255255,\N,\N,0,jazzwallet,1/1/2017,Valid,8,2017,1,Sep-16,1-2017,FY17,7366
379073,order_refunded,1/1/2017,test-product,8,1,8,100255256,\N,\N,0,jazzvoucher,1/1/2017,Valid,8,2017,1,Sep-16,1-2017,FY17,7366
379074,canceled,1/1/2017,greenroot_Miracle Oil,1500,1,1500,100255257,Health & Sports,\N,0,Payaxis,1/1/2017,Gross,"1,500",2017,1,Jan-17,1-2017,FY17,30124
379075,canceled,1/1/2017,greenroot_Miracle Oil,1500,1,1500,100255258,Health & Sports,\N,0,Payaxis,1/1/2017,Gross,"1,500",2017,1,Jan-17,1-2017,FY17,30124
379076,complete,1/1/2017,vitamin_Sublingual B-12,500,1,500,100255259,Health & Sports,\N,0,cod,1/1/2017,Net,500,2017,1,Dec-16,1-2017,FY17,29907
379077,canceled,1/1/2017,timex_T2P231,9080,1,15080,100255260,Women's Fashion,\N,0,Payaxis,1/1/2017,Gross,"9,080",2017,1,Oct-16,1-2017,FY17,12179
379078,canceled,1/1/2017,phub_Bright Crystal  by Versace 90ml EDT,6000,1,15080,100255260,Beauty & Grooming,\N,0,Payaxis,1/1/2017,Gross,"6,000",2017,1,Oct-16,1-2017,FY17,12179
379079,order_refunded,1/1/2017,vitamin_Ultra Slim Plus,1500,1,1500,100255261,Health & Sports,\N,0,cod,1/1/2017,Valid,"1,500",2017,1,Jan-17,1-2017,FY17,30125
379080,complete,1/1/2017,greenroot_Miracle Oil,1500,1,1500,100255262,Health & Sports,\N,0,Payaxis,1/1/2017,Net,"1,500",2017,1,Jan-17,1-2017,FY17,30124
379081,complete,1/1/2017,RS_Coconut Bites,140,1,140,100255263,Soghaat,\N,0,cod,1/1/2017,Net,140,2017,1,Jul-16,1-2017,FY17,600
379082,order_refunded,1/1/2017,KureshiC_060-pols,599,1,599,100255264,Men's Fashion,\N,0,cod,1/1/2017,Valid,599,2017,1,Dec-16,1-2017,FY17,29404
379083,canceled,1/1/2017,cr_ALMOND SALTED-500 GM,1000,1,1000,100255265,Soghaat,\N,0,Payaxis,1/1/2017,Gross,"1,000",2017,1,Nov-16,1-2017,FY17,26527
379084,canceled,1/1/2017,cr_ALMOND SALTED-500 GM,1000,1,1000,100255266,Soghaat,\N,0,Payaxis,1/1/2017,Gross,"1,000",2017,1,Nov-16,1-2017,FY17,26527
379085,canceled,1/1/2017,Infinix Note 3-2GB-Nationwide-Grey,18599,1,18599,100255267,Mobiles & Tablets,CMUX33202,0,Payaxis,1/1/2017,Gross,"18,599",2017,1,Nov-16,1-2017,FY17,13793
379089,canceled,1/1/2017,cr_ALMOND SALTED-500 GM,1000,1,1000,100255269,Soghaat,\N,0,Payaxis,1/1/2017,Gross,"1,000",2017,1,Nov-16,1-2017,FY17,26527
379087,canceled,1/1/2017,Infinix Note 3-2GB-Nationwide-Grey,18599,1,18599,100255268,Mobiles & Tablets,CMUX33202,0,Payaxis,1/1/2017,Gross,"18,599",2017,1,Nov-16,1-2017,FY17,13793
379090,canceled,1/1/2017,Infinix Note 3-2GB-Nationwide-Gold,18599,2,37198,100255270,Mobiles & Tablets,CMUX33202,0,Payaxis,1/1/2017,Gross,"37,198",2017,1,Nov-16,1-2017,FY17,13793
379092,canceled,1/1/2017,alrafa_Ajwa-Dates-400g,1285,2,2570,100255271,Soghaat,CMUX33202,0,Payaxis,1/1/2017,Gross,"2,570",2017,1,Nov-16,1-2017,FY17,13793
379093,complete,1/1/2017,contessa_CWC177-L,190,1,1190,100255272,Women's Fashion,\N,0,cod,1/1/2017,Net,190,2017,1,Jan-17,1-2017,FY17,30126
379095,complete,1/1/2017,ubaab_Ubb-b2,500,1,1190,100255272,Women's Fashion,\N,0,cod,1/1/2017,Net,500,2017,1,Jan-17,1-2017,FY17,30126
379096,complete,1/1/2017,JayQeu_SP-27-M,500,1,1190,100255272,Women's Fashion,\N,0,cod,1/1/2017,Net,500,2017,1,Jan-17,1-2017,FY17,30126
379098,canceled,1/1/2017,Infinix Note 3-2GB-Nationwide-Gold,18599,1,18599,100255273,Mobiles & Tablets,CMUX33202,0,Payaxis,1/1/2017,Gross,"18,599",2017,1,Nov-16,1-2017,FY17,13793
379100,complete,1/1/2017,BB_bundle_bf,680,1,680,100255274,Superstore,\N,0,cod,1/1/2017,Net,680,2017,1,Aug-16,1-2017,FY17,5092
379101,canceled,1/1/2017,cr_ALMOND SALTED-500 GM,1000,1,1000,100255275,Soghaat,\N,0,Payaxis,1/1/2017,Gross,"1,000",2017,1,Nov-16,1-2017,FY17,26527
379102,order_refunded,1/1/2017,Dawlance_bundle_DW-5500 White-,16300,1,16300,100255276,Appliances,\N,0,cod,1/1/2017,Valid,"16,300",2017,1,Jan-17,1-2017,FY17,30127
379104,complete,1/1/2017,mva_Till-Ladoo-12pcs,85,1,85,100255277,Soghaat,\N,0,cod,1/1/2017,Net,85,2017,1,Jan-17,1-2017,FY17,30128
379105,complete,1/1/2017,HQDistributors_GT-08-Gold,2475,1,2475,100255278,Mobiles & Tablets,100247483,0,cod,1/1/2017,Net,"2,475",2017,1,Sep-16,1-2017,FY17,6882
379106,complete,1/1/2017,Femina_8008081260315-1231,80,1,80,100255279,Beauty & Grooming,\N,0,cod,1/1/2017,Net,80,2017,1,Oct-16,1-2017,FY17,12142
379107,order_refunded,1/1/2017,Berrio_BR-01,195,1,195,100255280,Beauty & Grooming,\N,0,cod,1/1/2017,Valid,195,2017,1,Dec-16,1-2017,FY17,30108
379108,order_refunded,1/1/2017,st_PX002,1599,1,1599,100255281,Home & Living,\N,0,cod,1/1/2017,Valid,"1,599",2017,1,Aug-16,1-2017,FY17,3618
379109,canceled,1/1/2017,Infinix-Hot-S-Grey,16899,1,16899,100255282,Mobiles & Tablets,\N,0,Payaxis,1/1/2017,Gross,"16,899",2017,1,Nov-16,1-2017,FY17,26527
379110,complete,1/1/2017,HQDistributors_DZ-09-Black,2160,1,2160,100255283,Mobiles & Tablets,\N,0,cod,1/1/2017,Net,"2,160",2017,1,Nov-16,1-2017,FY17,14559
379111,complete,1/1/2017,stinnos_1562,1100,1,1100,100255284,Kids & Baby,\N,0,cod,1/1/2017,Net,"1,100",2017,1,Dec-16,1-2017,FY17,28127
379112,canceled,1/1/2017,Infinix Note 3-2GB-Nationwide-Gold,18599,1,18599,100255285,Mobiles & Tablets,CMUX33202,0,Payaxis,1/1/2017,Gross,"18,599",2017,1,Nov-16,1-2017,FY17,13793
379114,canceled,1/1/2017,cr_ALMOND SALTED-500 GM,1000,1,1000,100255286,Soghaat,\N,0,Payaxis,1/1/2017,Gross,"1,000",2017,1,Nov-16,1-2017,FY17,26527
379115,complete,1/1/2017,Relevant_PO-2-M,700,1,1480,100255287,Men's Fashion,\N,0,cod,1/1/2017,Net,700,2017,1,Nov-16,1-2017,FY17,18145
379117,complete,1/1/2017,Aybeez_SST-788-M,780,1,1480,100255287,Men's Fashion,\N,0,cod,1/1/2017,Net,780,2017,1,Nov-16,1-2017,FY17,18145
379120,complete,1/1/2017,P&P_9695420176,399,1,544,100255289,Books,\N,0,cod,1/1/2017,Net,399,2017,1,Jan-17,1-2017,FY17,30129
379121,complete,1/1/2017,Paramount_9814107077,145,1,544,100255289,Books,\N,0,cod,1/1/2017,Net,145,2017,1,Jan-17,1-2017,FY17,30129
379119,canceled,1/1/2017,cr_ALMOND SALTED-500 GM,1000,1,1000,100255288,Soghaat,\N,0,Payaxis,1/1/2017,Gross,"1,000",2017,1,Nov-16,1-2017,FY17,26527
379124,order_refunded,1/1/2017,jazzx_JS7Pro-Gold,6921,1,6921,100255291,Mobiles & Tablets,NY2017,0,cod,1/1/2017,Valid,"6,921",2017,1,Nov-16,1-2017,FY17,15689
379122,canceled,1/1/2017,Infinix Note 3-2GB-Nationwide-Grey,18599,1,18599,100255290,Mobiles & Tablets,CMUX33202,0,Payaxis,1/1/2017,Gross,"18,599",2017,1,Nov-16,1-2017,FY17,13793
379126,canceled,1/1/2017,Infinix Note 3-2GB-Nationwide-Gold,18599,3,55797,100255292,Mobiles & Tablets,CMUX33202,0,Payaxis,1/1/2017,Gross,"55,797",2017,1,Nov-16,1-2017,FY17,13793
379128,complete,1/1/2017,INFIINIX_HOT S X521,16899,1,16899,100255293,Mobiles & Tablets,\N,0,Payaxis,1/1/2017,Net,"16,899",2017,1,Nov-16,1-2017,FY17,26527
379129,order_refunded,1/1/2017,jazzx_JS7Pro-Gold,6921,1,6921,100255294,Mobiles & Tablets,\N,0,cod,1/1/2017,Valid,"6,921",2017,1,Nov-16,1-2017,FY17,15689
379131,complete,1/1/2017,samsung_galaxy-grand-prime-plus-Silver,15999,1,15999,100255295,Mobiles & Tablets,\N,0,Payaxis,1/1/2017,Net,"15,999",2017,1,Nov-16,1-2017,FY17,26527
379135,canceled,1/1/2017,nasgas_DG-06l Crystal,5199,1,11689,100255297,Appliances,\N,0,Payaxis,1/1/2017,Gross,"5,199",2017,1,Nov-16,1-2017,FY17,26527
379136,canceled,1/1/2017,R&I_HDG-2012S,6490,1,11689,100255297,Appliances,\N,0,Payaxis,1/1/2017,Gross,"6,490",2017,1,Nov-16,1-2017,FY17,26527
379133,canceled,1/1/2017,Infinix Note 3-2GB-Nationwide-Gold,18599,1,18599,100255296,Mobiles & Tablets,CMUX33202,0,Payaxis,1/1/2017,Gross,"18,599",2017,1,Nov-16,1-2017,FY17,13793
379137,canceled,1/1/2017,Infinix Note 3-2GB-Nationwide-Gold,18599,1,18599,100255298,Mobiles & Tablets,CMUX33202,0,Payaxis,1/1/2017,Gross,"18,599",2017,1,Nov-16,1-2017,FY17,13793
379139,complete,1/1/2017,cr_ALMOND SALTED-500 GM,1000,2,2000,100255299,Soghaat,\N,0,Payaxis,1/1/2017,Net,"2,000",2017,1,Nov-16,1-2017,FY17,26527
379142,canceled,1/1/2017,Prime_CT11-BLACK-L,2999,1,2999,100255301,Men's Fashion,\N,0,Payaxis,1/1/2017,Gross,"2,999",2017,1,Nov-16,1-2017,FY17,26527
379140,canceled,1/1/2017,Infinix Note 3-2GB-Nationwide-Gold,18599,1,18599,100255300,Mobiles & Tablets,CMUX33202,0,Payaxis,1/1/2017,Gross,"18,599",2017,1,Nov-16,1-2017,FY17,13793
379144,canceled,1/1/2017,alrafa_Ajwa-Dates-400g,1285,1,1285,100255302,Soghaat,CMUX33202,0,Payaxis,1/1/2017,Gross,"1,285",2017,1,Nov-16,1-2017,FY17,13793
379145,complete,1/1/2017,jazzx_JS7Pro-Gold,6921,1,6921,100255303,Mobiles & Tablets,\N,0,cod,1/1/2017,Net,"6,921",2017,1,Nov-16,1-2017,FY17,15689
379147,order_refunded,1/1/2017,SNU_SapphireSP16W1MystiqueWillow-A,2490,1,756,100255304,Women's Fashion,\N,0,cod,1/1/2017,Valid,"2,490",2017,1,Nov-16,1-2017,FY17,13575
379151,complete,1/1/2017,PC_SCHL-RIB-002 -8-9,199,1,199,100255306,School & Education,\N,0,jazzwallet,1/1/2017,Net,199,2017,1,Dec-16,1-2017,FY17,30108
379148,received,1/1/2017,Aybeez_SST-788-M,780,1,1340,100255305,Men's Fashion,1234567,0,cod,1/1/2017,Valid,780,2017,1,Jan-17,1-2017,FY17,30130
379150,received,1/1/2017,kureshi_061-BCL,560,1,1340,100255305,Men's Fashion,1234567,0,cod,1/1/2017,Valid,560,2017,1,Jan-17,1-2017,FY17,30130
379153,complete,1/1/2017,Relevant_PO-2-M,700,1,700,100255308,Men's Fashion,\N,0,cod,1/1/2017,Net,700,2017,1,Nov-16,1-2017,FY17,18145
379152,complete,1/1/2017,kureshi_061-BCL,560,1,560,100255307,Men's Fashion,1234567,0,cod,1/1/2017,Net,560,2017,1,Jan-17,1-2017,FY17,30130
379155,canceled,1/1/2017,dawlance_DWT-150C,36000,1,36000,100255309,Appliances,\N,0,Payaxis,1/1/2017,Gross,"36,000",2017,1,Nov-16,1-2017,FY17,26527
379156,canceled,1/1/2017,Infinix-Hot-S-Grey,16899,1,16899,100255310,Mobiles & Tablets,\N,0,Payaxis,1/1/2017,Gross,"16,899",2017,1,Nov-16,1-2017,FY17,26527
379157,complete,1/1/2017,samsung_galaxy-grand-prime-plus-Silver,15999,1,15999,100255311,Mobiles & Tablets,\N,0,Payaxis,1/1/2017,Net,"15,999",2017,1,Nov-16,1-2017,FY17,26527
379161,complete,1/1/2017,Infinix-Hot-S-Grey,16899,1,16899,100255313,Mobiles & Tablets,\N,0,Payaxis,1/1/2017,Net,"16,899",2017,1,Nov-16,1-2017,FY17,26527
379159,canceled,1/1/2017,Huawei P8 lite-Gold,21999,1,21999,100255312,Mobiles & Tablets,\N,0,Payaxis,1/1/2017,Gross,"21,999",2017,1,Nov-16,1-2017,FY17,26527
379162,canceled,1/1/2017,cr_ALMOND PLAIN-500 GM,940,2,1880,100255314,Soghaat,\N,0,Payaxis,1/1/2017,Gross,"1,880",2017,1,Nov-16,1-2017,FY17,26527
379163,order_refunded,1/1/2017,SNU_SapphireSP16W1IndianBlock-B,2190,1,1003.5,100255315,Women's Fashion,\N,0,cod,1/1/2017,Valid,"2,190",2017,1,Aug-16,1-2017,FY17,5417
379164,complete,1/1/2017,iGeek_Night Use Selfie Enhancing Flash Light for Smart Phones - ,352,1,352,100255316,Mobiles & Tablets,\N,0,cod,1/1/2017,Net,352,2017,1,Nov-16,1-2017,FY17,16966
379165,canceled,1/1/2017,Infinix-Hot-S-Grey,16899,1,16899,100255317,Mobiles & Tablets,\N,0,Payaxis,1/1/2017,Gross,"16,899",2017,1,Jan-17,1-2017,FY17,30131
379166,order_refunded,1/1/2017,Adolphs_TT-1-Black-L,499,1,499,100255318,Men's Fashion,\N,0,cod,1/1/2017,Valid,499,2017,1,Jan-17,1-2017,FY17,30132
379168,complete,1/1/2017,ZNE_247S-177-Black -M,1999,1,1999,100255319,Women's Fashion,R-FSD-58130,0,cod,1/1/2017,Net,"1,999",2017,1,Jul-16,1-2017,FY17,20
379170,complete,1/1/2017,emart_00-7,699,1,699,100255320,Home & Living,R-FSD-58130,0,cod,1/1/2017,Net,699,2017,1,Jul-16,1-2017,FY17,20
379171,order_refunded,1/1/2017,dawlance_DWEK-8223,2500,1,2500,100255321,Appliances,C-MUX-4277,0,cod,1/1/2017,Valid,"2,500",2017,1,Sep-16,1-2017,FY17,9082
379172,complete,1/1/2017,motif_MPT-205-Mustard-33,549.5,1,549.5,100255322,Men's Fashion,\N,0,cod,1/1/2017,Net,550,2017,1,Aug-16,1-2017,FY17,4914
379174,order_refunded,1/1/2017,R&I_HIC-201,9490,1,17520,100255323,Appliances,\N,0,Payaxis,1/1/2017,Valid,"9,490",2017,1,Dec-16,1-2017,FY17,29686
379175,order_refunded,1/1/2017,sinbo_3449,8030,1,17520,100255323,Appliances,\N,0,Payaxis,1/1/2017,Valid,"8,030",2017,1,Dec-16,1-2017,FY17,29686
379176,complete,1/1/2017,Infinix Hot 4-Gold,12599,1,12599,100255324,Mobiles & Tablets,\N,0,cod,1/1/2017,Net,"12,599",2017,1,Dec-16,1-2017,FY17,30083
379178,complete,1/1/2017,cr_SESAME BALL,75,2,150,100255325,Soghaat,\N,0,cod,1/1/2017,Net,150,2017,1,Nov-16,1-2017,FY17,25514
379179,complete,1/1/2017,Aybeez_ABZ-282-M,455,1,0,100255326,Men's Fashion,\N,0,customercredit,1/1/2017,Net,455,2017,1,Dec-16,1-2017,FY17,29158
379181,complete,1/1/2017,RUB_Rubian Zipper,250,1,250,100255327,Mobiles & Tablets,\N,0,cod,1/1/2017,Net,250,2017,1,Jan-17,1-2017,FY17,30133
379182,complete,1/1/2017,avent_SCF17814,690,1,690,100255328,Kids & Baby,\N,0,cod,1/1/2017,Net,690,2017,1,Jul-16,1-2017,FY17,28
379183,complete,1/1/2017,RS_Nan Khatai,210,1,210,100255329,Soghaat,\N,0,cod,1/1/2017,Net,210,2017,1,Nov-16,1-2017,FY17,23632
379184,complete,1/1/2017,adolph_WD-9-XL,749,1,749,100255330,Men's Fashion,\N,0,cod,1/1/2017,Net,749,2017,1,Jan-17,1-2017,FY17,30134
379186,order_refunded,1/1/2017,BO_Meat-Tenderizer - Black,550,1,550,100255331,Home & Living,\N,0,cod,1/1/2017,Valid,550,2017,1,Nov-16,1-2017,FY17,18010
379187,complete,1/1/2017,Baklawa_Cake Rusk Per Pack 330g,200,1,200,100255332,Soghaat,R-lhr east 107189,0,cod,1/1/2017,Net,200,2017,1,Dec-16,1-2017,FY17,29826
379188,order_refunded,1/1/2017,Aybeez_SST-787-XL,480,1,480,100255333,Men's Fashion,\N,0,cod,1/1/2017,Valid,480,2017,1,Dec-16,1-2017,FY17,29205
379190,complete,1/1/2017,Infinix Hot 4-Black,12599,1,12599,100255334,Mobiles & Tablets,\N,0,cod,1/1/2017,Net,"12,599",2017,1,Sep-16,1-2017,FY17,5969
379192,complete,1/1/2017,greenroot_Weight plus,1500,1,1500,100255335,Health & Sports,\N,0,cod,1/1/2017,Net,"1,500",2017,1,Jan-17,1-2017,FY17,30135
379193,complete,1/1/2017,ZFMLL_Iron Gyms Single Rod,1500,1,1500,100255336,Health & Sports,\N,0,cod,1/1/2017,Net,"1,500",2017,1,Jan-17,1-2017,FY17,30136
379194,complete,1/1/2017,BO_shovel-truck-orange,290,1,290,100255337,Kids & Baby,\N,0,cod,1/1/2017,Net,290,2017,1,Dec-16,1-2017,FY17,29426
379195,complete,1/1/2017,vitamin_moments-delay-wipes,1500,1,1500,100255338,Health & Sports,\N,0,cod,1/1/2017,Net,"1,500",2017,1,Jan-17,1-2017,FY17,30137
379196,order_refunded,1/1/2017,CopperAccessories_JPX551-Transparent,450,1,450,100255339,Mobiles & Tablets,\N,0,cod,1/1/2017,Valid,450,2017,1,Jan-17,1-2017,FY17,30138
379197,complete,1/1/2017,Infinix Hot 4-Gold,12599,1,11599,100255340,Mobiles & Tablets,NK2017,1000,cod,1/1/2017,Net,"12,599",2017,1,Jan-17,1-2017,FY17,30139
379199,complete,1/1/2017,Audionic_Studio 4,675,1,675,100255341,Computing,\N,0,cod,1/1/2017,Net,675,2017,1,Nov-16,1-2017,FY17,19360
379200,complete,1/1/2017,Keune_Black Dream-No. 1,390,1,390,100255342,Beauty & Grooming,\N,0,cod,1/1/2017,Net,390,2017,1,Jan-17,1-2017,FY17,30140
379202,complete,1/1/2017,Rubian_other-0423-4408212-1-zoom,799,1,799,100255344,Mobiles & Tablets,\N,0,cod,1/1/2017,Net,799,2017,1,Nov-16,1-2017,FY17,15308
379201,complete,1/1/2017,Keune_Red Brown Dream-No. 4.56,390,1,390,100255343,Beauty & Grooming,\N,0,cod,1/1/2017,Net,390,2017,1,Jan-17,1-2017,FY17,30140
379203,complete,1/1/2017,Rubian_Rubian 069,299,1,299,100255345,Women's Fashion,\N,0,cod,1/1/2017,Net,299,2017,1,Jan-17,1-2017,FY17,30141
379204,complete,1/1/2017,"mytee_Mytee292-Black, Blue, White-L",874,1,874,100255346,Men's Fashion,57815,0,cod,1/1/2017,Net,874,2017,1,Jan-17,1-2017,FY17,30142
379206,canceled,1/1/2017,Haier_Esteem V4_Gold,17190,1,17190,100255347,Mobiles & Tablets,\N,0,jazzwallet,1/1/2017,Gross,"17,190",2017,1,Nov-16,1-2017,FY17,16866
379207,complete,1/1/2017,emart_00-7,699,1,699,100255348,Home & Living,R-KHS-103982,0,cod,1/1/2017,Net,699,2017,1,Jul-16,1-2017,FY17,106
379208,complete,1/1/2017,SFEVER_Sf-alh-010,492,1,492,100255349,Beauty & Grooming,\N,0,cod,1/1/2017,Net,492,2017,1,Oct-16,1-2017,FY17,11817
379210,order_refunded,1/1/2017,mytee_mytee200-M,1399,1,1399,100255351,Men's Fashion,\N,0,cod,1/1/2017,Valid,"1,399",2017,1,Oct-16,1-2017,FY17,11817
379209,canceled,1/1/2017,Sony_DZ 950,36735,1,36735,100255350,Entertainment,cmux33202,0,Payaxis,1/1/2017,Gross,"36,735",2017,1,Dec-16,1-2017,FY17,30063
379212,canceled,1/1/2017,qmobile_Noir Z14,25500,1,25500,100255352,Mobiles & Tablets,cmux33202,0,Payaxis,1/1/2017,Gross,"25,500",2017,1,Dec-16,1-2017,FY17,30063
379214,canceled,1/1/2017,qmobile_Noir Z14,25500,1,25500,100255354,Mobiles & Tablets,cmux33202,0,Payaxis,1/1/2017,Gross,"25,500",2017,1,Dec-16,1-2017,FY17,29174
379213,canceled,1/1/2017,qmobile_Noir Z14,25500,1,25500,100255353,Mobiles & Tablets,\N,0,Payaxis,1/1/2017,Gross,"25,500",2017,1,Dec-16,1-2017,FY17,29174
379215,canceled,1/1/2017,qmobile_Noir Z14,25500,1,62235,100255355,Mobiles & Tablets,cmux33202,0,Payaxis,1/1/2017,Gross,"25,500",2017,1,Dec-16,1-2017,FY17,29174
379216,canceled,1/1/2017,Sony_DZ 950,36735,1,62235,100255355,Entertainment,cmux33202,0,Payaxis,1/1/2017,Gross,"36,735",2017,1,Dec-16,1-2017,FY17,29174
379217,canceled,1/1/2017,qmobile_Noir Z14,25500,1,25500,100255356,Mobiles & Tablets,cmux33202,0,Payaxis,1/1/2017,Gross,"25,500",2017,1,Dec-16,1-2017,FY17,29174
379218,complete,1/1/2017,infinix_Zero 4-Grey,22999,1,22999,100255357,Mobiles & Tablets,R-LHE-104418,0,cod,1/1/2017,Net,"22,999",2017,1,Jan-17,1-2017,FY17,30143
379220,canceled,1/1/2017,HQDistributors_GT-08-Black,2475,1,2475,100255358,Mobiles & Tablets,\N,0,Payaxis,1/1/2017,Gross,"2,475",2017,1,Jul-16,1-2017,FY17,141
379223,canceled,1/1/2017,Sony_DZ 950,36735,1,36735,100255360,Entertainment,cmux33202,0,Payaxis,1/1/2017,Gross,"36,735",2017,1,Dec-16,1-2017,FY17,30063
379221,canceled,1/1/2017,qmobile_Noir Z14,25500,1,62235,100255359,Mobiles & Tablets,cmux33202,0,Payaxis,1/1/2017,Gross,"25,500",2017,1,Dec-16,1-2017,FY17,29174
379222,canceled,1/1/2017,Sony_DZ 950,36735,1,62235,100255359,Entertainment,cmux33202,0,Payaxis,1/1/2017,Gross,"36,735",2017,1,Dec-16,1-2017,FY17,29174
379224,canceled,1/1/2017,qmobile_Noir Z14,25500,1,62235,100255361,Mobiles & Tablets,cmux33202,0,Payaxis,1/1/2017,Gross,"25,500",2017,1,Dec-16,1-2017,FY17,29174
379225,canceled,1/1/2017,Sony_DZ 950,36735,1,62235,100255361,Entertainment,cmux33202,0,Payaxis,1/1/2017,Gross,"36,735",2017,1,Dec-16,1-2017,FY17,29174
379230,complete,1/1/2017,adolph_WD-11-S,499,1,499,100255364,Women's Fashion,\N,0,cod,1/1/2017,Net,499,2017,1,Dec-16,1-2017,FY17,29801
